UID,Engine Identification,Combustor Description,Manufacturer,Test Organisation,Test Location,Test date to,Test date from,Eng Type,B/P Ratio,Press Ratio,Rated Output(kN),Superseded by UID,Dp/Foo HC Characteristic,Characteristic % of Reg limit,LTO Total mass (g),Dp/Foo CO Characteristic,Nox Total mass (g),Smoke Number Characteristic,Fuel Spec,Fuel H/C Ratio,Ambient Baro kPa,Remarks
2CM017,CFM56-5B2/2,DAC,CFMI,CFM56 Evaluation Engineering,PTO Site IIIC,Jun-94,Jul-94,TF,5.7,31.2,137.9,-,10.5 ,53.6 ,1128 ,85.9 ,5756 ,5.6,Jet A,1.93,100.67-101.01,1. Ref GE Report CR-797/2.  2. Engine S/N 779131/001 & 779132/001  3. DAC combustor
4CM037,CFM56-5B2/2P,DAC-II,CFM International,GEAE Peebles Testing Facility + Techspace Aero (CFMI),"Peebles, Ohio, USA + Liers, Belgium",Aug-96,Sep-96,TF,5.6,31.6,137.9,-,8.0 ,40.7 ,877 ,75.7 ,5844 ,2.5,Jet A,1.93,98.5-99.74,DAC-II Combustor P/N 1968M99G04
8CM053,CFM56-5B2/3,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",Sep-05,Mar-06,TF,5.5,31.3,137.9,,1.87,9.5,221,38.2,6268,17.1,Jet A,1.92 - 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3 Rev1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
3CM024,CFM56-5B2/P,,GE,CFM56-5B Eval Engineering,"Techspace-Aero Facility, Liege, Belgium",Nov-95,,TF,5.6,31.57,137.90,-,7.9 ,40.3 ,712 ,33.4 ,7723 ,7.0,Jet A,1.92,98.2-99.6,"1. FAA Certification Report CR-797/P, June 95.  2. Engine S/N 779-194/1"
4CM038,CFM56-5B3/2P,DAC-II,CFM International,GEAE Peebles Testing Facility + Techspace Aero (CFMI),"Peebles, Ohio, USA + Liers, Belgium",Aug-96,Sep-96,TF,5.6,32.8,142.4,-,7.3 ,37.0 ,807 ,71.5 ,6420 ,2.6,Jet A,1.93,98.5-99.74,DAC-II Combustor P/N 1968M99G04
8CM054,CFM56-5B3/3,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",Sep-05,Mar-06,TF,5.4,32.6,142.3,-,1.67,8.5,204,36.2,6875,17.6,Jet A,1.92 - 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3 Rev1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Also covers CFM56-5B3/3B1  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
3CM025,CFM56-5B3/P,,GE,CFM56-5B Eval Engineering,"Techspace-Aero Facility, Liege, Belgium",Nov-95,,TF,5.6,32.78,142.35,-,7.7 ,39.3 ,708 ,32.5 ,8360 ,7.0,Jet A,1.92,98.2-99.6,"1. FAA Certification Report CR-797/P, June 95.  2. Engine S/N 779-194/1"
2CM014,CFM56-5B4,,CFMI,CFM56 Evaluation Engineering,Peebles Site IIIB,Oct-92,Oct-92,TF,5.9,27.1,117.9,-,8.8 ,44.8 ,674 ,58.1 ,5861 ,15.1,Jet A,1.93,97.49 - 98.18,1. Ref GE Report R92AEB262.  2. Engine S/N 779101
2CM018,CFM56-5B4/2,DAC,CFMI,CFM56 Evaluation Engineering,PTO Site IIIC,Jun-94,Jul-94,TF,5.7,27.1,117.9,-,14.6 ,74.5 ,1350 ,106.5 ,3783 ,5.6,Jet A,1.93,100.67-101.01,1. Ref GE Report CR-797/2.  2. Engine S/N 779131/001 & 779132/001  3. DAC combustor
3CM021,CFM56-5B4/2P,DAC-II,CFM International,GEAE Peebles Testing Facility + Techspace Aero (CFMI),"Peebles Ohio, USE + Liers, Belgium",Aug-96,Sep-96,TF,5.9,27.7,120.1,-,12.0 ,61.2 ,1136 ,96.5 ,3847 ,2.3,Jet A,1.93,98.5-99.74,DAC-II Combustor P/N 1968M99G04
8CM055,CFM56-5B4/3,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",Sep-05,Mar-06,TF,5.7,27.3,120.1,-,3.05,15.6,314,48.5,4511,14.7,Jet A,1.92 - 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3 Rev1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Also covers CFM56-5B4/3B1  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
3CM026,CFM56-5B4/P,,GE,CFM56-5B Eval Engineering,"Techspace-Aero Facility, Liege, Belgium",Nov-95,,TF,5.9,27.69,120.11,-,10.4 ,53.1 ,818 ,42.1 ,5641 ,7.0,Jet A,1.92,98.2-99.6,"1. FAA Certification Report CR-797/P, June 95.  2. Engine S/N 779-194/1"
8CM056,CFM56-5B5/3,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",Sep-05,Mar-06,TF,6,23.1,97.9,-,6.2,31.6,520,70.1,3047,10.7,Jet A,1.92 - 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3 Rev1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
3CM027,CFM56-5B5/P,,GE,CFM56-5B Eval Engineering,"Techspace-Aero Facility, Liege, Belgium",Nov-95,,TF,5.9,23.33,97.89,-,15.3 ,78.1 ,980 ,59.3 ,3732 ,7.0,Jet A,1.92,98.2-99.6,"1. FAA Certification Report CR-797/P, June 95.  2. Engine S/N 779-194/1"
2CM019,CFM56-5B6/2,DAC,CFMI,"SNECMA, Villaroche, France","Techspace Aero, Liege, Belgium",Jun-95,Jul-95,TF,5.7,24.8,104.5,-,6.7 ,34.0 ,630 ,110.6 ,3158 ,4.0,Jet A,1.92,99.29-101.01,"1. Ref GE Report CR-797/2 Supplement 1.  2. Engine S/N 779172/001, 779174/001, 779175/001, & 779178/001  3. DAC combustor"
3CM022,CFM56-5B6/2P,DAC-II,CFM International,GEAE Peebles Testing Facility + Techspace Aero (CFMI),"Peebles Ohio, USE + Liers, Belgium",Aug-96,Sep-96,TF,6.0,24.6,104.5,-,10.3 ,52.6 ,849 ,110.2 ,3020 ,7.9,Jet A,1.93,98.5-99.74,DAC-II Combustor P/N 1968M99G04
8CM057,CFM56-5B6/3,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",Sep-05,Mar-06,TF,5.9,24.3,104.5,-,4.95,25.3,440,62.1,3363,12.4,Jet A,1.92 - 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3 Rev1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
3CM028,CFM56-5B6/P,,GE,CFM56-5B Eval Engineering,"Techspace-Aero Facility, Liege, Belgium",Nov-95,,TF,6.0,24.64,104.53,-,13.3 ,67.9 ,901 ,53.1 ,4232 ,7.0,Jet A,1.92,98.2-99.6,"1. FAA Certification Report CR-797/P, June 95.  2. Engine S/N 779-194/1"
8CM058,CFM56-5B7/3,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",Sep-05,Mar-06,TF,5.7,27.3,120.1,-,3.05,15.6,314,48.5,4511,14.7,Jet A,1.92 - 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3 Rev1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
6CM044,CFM56-5B7/P,,GE,CFM56-5B Eval Engineering,"Techspace-Aero, Liege, Belgium",Nov-95,,TF,5.9,27.69,120.11,-,10.4 ,53.2 ,818 ,42.1 ,5641 ,6.9,Jet A,1.92,98.2 - 99.6,"1. FAA Certification Report CR0797/P, June 95.  2. Engine S/N 779-194/1"
8CM059,CFM56-5B8/3,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",Sep-05,Mar-06,TF,6,22.7,96.1,-,6.61,33.7,544,72.6,2950,10.7,Jet A,1.92 - 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3 Rev1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
7CM048,CFM56-5B8/P,SAC,CFM International,CFM56 Evaluation Engineering,"Techspace Aero, Liege, Belgium",Nov-95,,TF,5.9,22.6,94.7,-,16.6 ,84.7 ,1023 ,66.8 ,3358 ,6.9,Jet A,1.92,98.2 - 99.6,"1. FAA Certificiaction Report CR 0797/P, June 1995 and Certification Report CR-700 S3, October 2001  2. Engine S/N 779-194/1"
7CM050,CFM56-5B9/2P,DAC,CFM International,CFM56 Evaluation Engineering,"GEAE PTO and Techspace Aero, Liege, Belgium",1-Aug-96,30-Sep-96,TF,5.9,24.4,102.2,-,9.9,50.5,789,107.5,2754,7.8,Jet A,1.93,98.5 - 99.74,"1. FAA Certification Report CR-700 S3, October 2001  2. DAC-II combustor P/N 196M99G04"
8CM060,CFM56-5B9/3,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",Sep-05,Mar-06,TF,5.9,24.2,103.6,-,5.09,26.0,452,63.1,3377,12.3,Jet A,1.92 - 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3 Rev1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
7CM049,CFM56-5B9/P,SAC,CFM International,CFM56 Evaluation Engineering,"Techspace Aero, Liege, Belgium",Nov-95,,TF,5.9,24.0,102.2,-,14.4 ,73.5 ,970 ,59.7 ,3875 ,6.9,Jet A,1.92,98.2 - 99.6,"1. FAA Certifiaction Report CR 0797/P, June 1995 and Certification Report CR-700 S3, October 2001  2. Engine S/N 779-194/1"
1CM010,CFM56-5C2,,CFMI,CFM56 Evaluation Engineering,PTO Site IVD,4-Jun-91,5-Jun-91,MTF,6.8,28.8,138.78,-,11.6 ,59.4 ,1050 ,57.9 ,7077 ,14.3,Jet A,1.95,97.77-98.11,1. Ref GE Report R91AEB471.  2. Engine S/N 740-105.  3. Core engine Smoke Numbers reported
7CM045,CFM56-5C2/P,SAC,CFM International,CFM56 Evaluation Engineering,PTO Site IV-D,4-Jun-91,5-Jun-91,MTF,6.8,28.2,137.61,-,11.1,56.6,986,56.2,6240,13.8,Jet A,1.95,97.77 - 98.11,"1. Ref GE Report R91AEB471 and FAA Certification Report CR-897/P, July 2003  2. Engine S/N 740/105.  3. Core engine Smoke Numbers reported"
1CM011,CFM56-5C3,,CFMI,CFM56 Evaluation Engineering,PTO Site IVD,4-Jun-91,5-Jun-91,MTF,6.7,29.9,144.57,-,10.8 ,55.0 ,1012 ,54.6 ,7770 ,15.2,Jet A,1.95,97.77-98.11,1. Ref GE Report R91AEB471.  2. Engine S/N 740-105.  3. Core engine Smoke Numbers reported
7CM046,CFM56-5C3/P,SAC,CFM International,CFM56 Evaluation Engineering,PTO Site IV-D,Jun-91,,MTF,6.7,29.2,143.33,-,10.2 ,52.0 ,943 ,52.6 ,6858 ,14.9,Jet A,1.95,97.77 - 98.11,"1. Ref GE Report R91AEB471 and FAA Certification Report CR-897/P, July 2003  2. Engine S/N 740-105  3. Data also apply to CFM56-5C4/1P.  4. Core engine Smoke Numbers reported"
2CM015,CFM56-5C4,,CFMI,CFM56 Evaluation Engineering,PTO Site IVD,4-Jun-91,5-Jun-91,MTF,6.6,31.15,151.25,-,9.9 ,50.5 ,975 ,51.1 ,8702 ,16.2,Jet A,1.95,97.77-98.11,1. Ref GE Report R91AEB471   2. Engine S/N 740-105.  3. Core engine Smoke Numbers reported
7CM047,CFM56-5C4/P,SAC,CFM International,CFM56 Evaluation Engineering,PTO Site IV-D,Jun-91,,MTF,6.6,30.5,149.9,-,9.3 ,47.4 ,897 ,48.9 ,7641 ,15.4,Jet A,1.95,97.77 - 98.11,"1. Ref GE Report R91AEB471 and FAA Certification Report CR-897/P, July 2003  2. Engine S/N 740-105  3. Data also apply to CFM56-5C4/1P.  4. Core engine Smoke Numbers reported"
3CM029,CFM56-7B18,,GE,CFM56-7B Eval Engineering,"Peebles Test Operation, Peebles, Ohio, USA",Jul-96,,TF,5.5,21.59,86.74,-,9.7 ,49.5 ,549 ,64.4 ,3472 ,13.8,Jet A,1.86-1.97,97.8-98.0,"1.  FAA Certification Report CR-997, Dec 96.  2.  Engine S/N 874-101/01"
8CM061,CFM56-7B18/3,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",29-Sep-05,23-Mar-06,TF,5.5,21.40,86.7,-,8.82,45.0,656,88,2729,8.84,Jet A,1.92 - 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3 Rev1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Data also apply to CFM56-7B18/3  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
3CM030,CFM56-7B20,,GE,CFM56-7B Eval Engineering,"Peebles Test Operation, Peebles, Ohio, USA",Jul-96,,TF,5.4,22.61,91.63,-,8.4 ,42.9 ,504 ,58.0 ,3829 ,14.7,Jet A,1.86-1.97,97.8-98.0,"1.  FAA Certification Report CR-997, Dec 96.  2.  Engine S/N 874-101/01"
4CM039,CFM56-7B20/2,,GE,CFM56-7B Eval Engineering,"Peebles Test Operation (PTO) Peebles, OH",30-Aug-97,12-Sep-97,TF,5.4,22.77,91.63,-,17.0 ,86.9 ,1340 ,117.5 ,2802 ,1.7,Jet A,1.93-1.94,97.9-98.0,"1.  FAA Certification Report CR-997/2, 14 Nov 97  2.  Engine S/N 874-136/01, 874-141/01, 874-146/01"
8CM062,CFM56-7B20/3,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",29-Sep-05,23-Mar-06,TF,5.5,22.40,91.6,-,7.31,37.3,574,79.4,2987,9.52,Jet A,1.92 - 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3 Rev1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Data also apply to CFM56-7B20/3  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
11CM067,CFM56-7B20E,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",29-Sep-05,23-Mar-06,TF,5.5,22.40,91.6,-,7.31,37.3,572,79.4,2987,9.52,JET A,1.92 to 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3  2. Rev. 1Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Ref. GE REPORT CR-900E Rev. 2, July 19, 2010  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
3CM031,CFM56-7B22,,GE,CFM56-7B Eval Engineering,"Peebles Test Operation, Peebles, Ohio, USA",Jul-96,,TF,5.3,24.41,100.97,-,6.4 ,32.7 ,432 ,48.6 ,4560 ,15.4,Jet A,1.86-1.97,97.8-98.0,"1.  FAA Certification Report CR-997, Dec 96.  2.  Engine S/N 874-101/01"
4CM040,CFM56-7B22/2,,GE,CFM56-7B Eval Engineering,"Peebles Test Operation (PTO) Peebles, OH",30-Aug-97,12-Sep-97,TF,5.3,24.61,100.97,-,19.0 ,97.1 ,1643 ,112.7 ,3091 ,0.8,Jet A,1.93-1.94,97.9-98.0,"1.  FAA Certification Report CR-997/2, 14 Nov 97  2.  Engine S/N 874-136/01, 874-141/01, 874-146/01"
8CM063,CFM56-7B22/3,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",29-Sep-05,23-Mar-06,TF,5.3,24.20,101,-,5.16,26.3,447,66.2,3540,10.83,Jet A,1.92 - 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3 Rev1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Data also apply to models CFM56-7B22/3, -7B22/3B1, and -7B22/3B2  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
11CM068,CFM56-7B22E,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",29-Sep-05,23-Mar-06,TF,5.3,24.20,101,-,5.16,26.3,446,66.2,3538,10.83,JET A,1.92 to 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3  2. Rev. 1Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Ref. GE REPORT CR-900E Rev. 2, July 19, 2010  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
11CM069,CFM56-7B22E/B1,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",29-Sep-05,23-Mar-06,TF,5.3,24.20,101,-,5.16,26.3,446,66.2,3538,10.83,JET A,1.92 to 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3  2. Rev. 1Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Ref. GE REPORT CR-900E Rev. 2, July 19, 2010  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
3CM032,CFM56-7B24,,GE,CFM56-7B Eval Engineering,"Peebles Test Operation, Peebles, Ohio, USA",Jul-96,,TF,5.2,25.78,107.65,-,6.0 ,30.6 ,432 ,45.6 ,5149 ,16.2,Jet A,1.86-1.97,97.8-98.0,"1.  FAA Certification Report CR-997, Dec 96.  2.  Engine S/N 874-101/01"
4CM041,CFM56-7B24/2,,GE,CFM56-7B Eval Engineering,"Peebles Test Operation (PTO) Peebles, OH",30-Aug-97,12-Sep-97,TF,5.2,25.95,107.65,-,17.1 ,87.2 ,1576 ,101.7 ,3534 ,0.7,Jet A,1.93-1.94,97.9-98.0,"1.  FAA Certification Report CR-997/2, 14 Nov 97  2.  Engine S/N 874-136/01, 874-141/01, 874-146/01"
8CM064,CFM56-7B24/3,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",29-Sep-05,23-Mar-06,TF,5.3,25.60,107.6,-,4.09,20.9,377,58.8,3995,13.28,Jet A,1.92 - 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3 Rev1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Data also apply to models CFM56-7B24/3 and -7B24/3B1  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
11CM070,CFM56-7B24E,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",29-Sep-05,23-Mar-06,TF,5.3,25.60,107.6,-,4.09,20.9,377,58.8,3996,13.28,JET A,1.92 to 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3  2. Rev. 1Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Ref. GE REPORT CR-900E Rev. 2, July 19, 2010  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
11CM071,CFM56-7B24E/B1 ,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",29-Sep-05,23-Mar-06,TF,5.3,25.60,107.6,-,4.09,20.9,377,58.8,3996,13.28,JET A,1.92 to 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3  2. Rev. 1Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Ref. GE REPORT CR-900E Rev. 2, July 19, 2010  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
3CM033,CFM56-7B26,,GE,CFM56-7B Eval Engineering,"Peebles Test Operation, Peebles, Ohio, USA",Jul-96,,TF,5.1,27.61,116.99,8CM051,4.7 ,24.0 ,361 ,37.2 ,6149 ,18.9,Jet A,1.86-1.97,97.8-98.0,"1.  FAA Certification Report CR-997, Dec 96.  2.  Engine S/N 874-101/01"
8CM051,CFM56-7B26,,GE,CFM56-7B Eval Engineering,"Peebles Test Operation, Peebles, Ohio, USA",Jul-96,,TF,5.1,27.61,116.99,-,4.7 ,24.0 ,361 ,37.2 ,6149 ,18.9,Jet A,1.86-1.97,97.8-98.0,"1.  FAA Certification Report CR-997, Dec 96.  2.  Engine S/N 874-101/01  3. Characteristic Dp/Foo NOx incorrectly entered originally [3CM033]  4. Issue 15; Dp/Foo NOx corrected from 63.2 to 61.0 and % of standards to 64.0, 80.1 & 96.6"
4CM042,CFM56-7B26/2,,GE,CFM56-7B Eval Engineering,"Peebles Test Operation (PTO) Peebles, OH",30-Aug-97,12-Sep-97,TF,5.1,27.80,116.99,-,14.2 ,72.7 ,1425 ,88.0 ,4233 ,0.7,Jet A,1.93-1.94,97.9-98.0,"1.  FAA Certification Report CR-997/2, 14 Nov 97  2.  Engine S/N 874-136/01, 874-141/01, 874-146/01"
8CM065,CFM56-7B26/3,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",29-Sep-05,23-Mar-06,TF,5.1,27.70,117,-,3.01,15.4,302,50.6,4763,14.37,Jet A,1.92 - 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3 Rev1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Data also apply to models CFM56-7B26/3, -7B26/3B1, -7B26/3B2, -7B26/3F and –7B26/3B2F  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
11CM072,CFM56-7B26E,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",29-Sep-05,23-Mar-06,TF,5.1,27.70,117,-,3.01,15.4,302,50.6,4762,14.37,JET A,1.92 to 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3  2. Rev. 1Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Ref. GE REPORT CR-900E Rev. 2, July 19, 2010  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
11CM073,CFM56-7B26E/B1,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",29-Sep-05,23-Mar-06,TF,5.1,27.70,117,-,3.01,15.4,302,50.6,4762,14.37,JET A,1.92 to 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3  2. Rev. 1Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Ref. GE REPORT CR-900E Rev. 2, July 19, 2010  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
11CM074,CFM56-7B26E/B2,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",29-Sep-05,23-Mar-06,TF,5.1,27.70,117,-,3.01,15.4,302,50.6,4762,14.37,JET A,1.92 to 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3  2. Rev. 1Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Ref. GE REPORT CR-900E Rev. 2, July 19, 2010  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
11CM076,CFM56-7B26E/B2F,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",29-Sep-05,23-Mar-06,TF,5.1,27.70,117,-,3.01,15.4,302,50.6,4762,14.37,JET A,1.92 to 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3  2. Rev. 1Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Ref. GE REPORT CR-900E Rev. 2, July 19, 2010  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
11CM075,CFM56-7B26E/F,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",29-Sep-05,23-Mar-06,TF,5.1,27.70,117,-,3.01,15.4,302,50.6,4762,14.37,JET A,1.92 to 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3  2. Rev. 1Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Ref. GE REPORT CR-900E Rev. 2, July 19, 2010  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
3CM034,CFM56-7B27,,GE,CFM56-7B Eval Engineering,"Peebles Test Operation, Peebles, Ohio, USA",Jul-96,,TF,5.0,28.63,121.44,-,4.3 ,21.9 ,335 ,34.7 ,6719 ,20.2,Jet A,1.86-1.97,97.8-98.0,"1.  FAA Certification Report CR-997, Dec 96.  2.  Engine S/N 874-101/01"
4CM043,CFM56-7B27/2,,GE,CFM56-7B Eval Engineering,"Peebles Test Operation (PTO) Peebles, OH",30-Aug-97,12-Sep-97,TF,5.0,28.84,121.44,-,13.1 ,66.7 ,1363 ,82.7 ,4648 ,0.8,Jet A,1.93-1.94,97.9-98.0,"1.  FAA Certification Report CR-997/2, 14 Nov 97  2.  Engine S/N 874-136/01, 874-141/01, 874-146/01"
8CM066,CFM56-7B27/3,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",29-Sep-05,23-Mar-06,TF,5.1,29.00,121.4,-,2.62,13.4,273,47.4,5232,14.72,Jet A,1.92 - 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3 Rev1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Data also apply to models CFM56-7B27/3, -7B27/3B1, -7B27/3B3, -7B27A/3, -7B27/3F, and -7B27/3B1F  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
