UID,Engine Identification,Combustor Description,Manufacturer,Test Organisation,Test Location,Test date to,Test date from,Eng Type,B/P Ratio,Press Ratio,Rated Output(kN),Superseded by UID,Dp/Foo HC Characteristic,Characteristic % of Reg limit,LTO Total mass (g),Dp/Foo CO Characteristic,Nox Total mass (g),Smoke Number Characteristic,Fuel Spec,Fuel H/C Ratio,Ambient Baro kPa,Remarks
6AL014,AE3007A1P,Type 1,Rolls-Royce Corporation,Rolls-Royce Corporation,"Indianapolis, Indiana, USA",3-Mar-94,19-Apr-95,MTF,4.77,17.9,34.74,-,11.55,58.9,308,61.24,1444,1.17,Jet A,1.9,,1. For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076  2. Results based on Rolls-Royce report EDR 15171B
6AL015,AE3007A1P,Type 2,Rolls-Royce Corporation,Rolls-Royce Corporation,"Indianapolis, Indiana, USA",28-Aug-02,29-Aug-02,MTF,4.77,17.9,34.74,-,16.34,83.4,368,84.33,1567,0.01,Jet A,1.9,99.6 - 99.7,1. For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076  2. Data in this form for AE3007A1P engine fitted with PAB fuel nozzles  3. Results based on Roll-Royce report EDR 19972
6AL016,AE3007A1P,Type 3 (reduced emissions),Rolls-Royce Corporation,Rolls-Royce Corporation,"Indianapolis, Indiana, USA",9-Jun-01,11-Jun-01,MTF,4.77,17.9,34.74,-,12.41,63.3,280,109.1,1334,0.01,Jet A,1.9,98.9 - 99.0,"1. For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076  2. Data in this form for AE3007A1P engine fitted with reduced emissions combustor & PAB fuel nozzles  3. Results based on Rolls-Royce report EDR 19587  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
10AL026,AE3007A2,Type 3 (reduced emissions),Rolls-Royce Corporation,Rolls-Royce Corporation,"Indianapolis, Indiana, USA",9-Jun-01,11-Jun-01,MTF,4.79,20.2,42.23,-,5.32,27.12,146,89.96,1817,0.01,Jet A,1.9,101.3,"1. For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076  2. Data in this form for AE3007A2 engine fitted with reduced emissions combustor & AB fuel nozzles  3. Results based on Rolls-Royce report EDRs 19587 and 22949  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
6AL017,AE3007A3,Type 1,Rolls-Royce Corporation,Rolls-Royce Corporation,"Indianapolis, Indiana, USA",3-Mar-94,19-Apr-95,MTF,4.72,17.2,33,-,14.22,72.6,361,67.69,1316,1.17,Jet A,1.9,,1. For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076  2. Results based on Rolls-Royce report EDR 15171B
6AL018,AE3007A3,Type 2,Rolls-Royce Corporation,Rolls-Royce Corporation,"Indianapolis, Indiana, USA",28-Aug-02,29-Aug-02,MTF,4.72,17.2,33,-,18.7,95.4,401,92.54,1429,0.01,Jet A,1.9,99.6 - 99.7,1. For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076  2. Data in this form for AE3007A3 engine fitted with PAB fuel nozzles  3. Results based on Rolls-Royce report EDR 19972
6AL019,AE3007A3,Type 3 (reduced emissions),Rolls-Royce Corporation,Rolls-Royce Corporation,"Indianapolis, Indiana, USA",9-Jun-01,11-Jun-01,MTF,4.72,17.2,33,-,13.48,68.8,289,115.69,1232,0.01,Jet A,1.9,98.9 - 99.0,1. For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076  2. Data in this form for AE3007A3 engine fitted with reduced emissions combustor & PAB fuel nozzles  3. Results based on Rolls-Royce report EDR 19587
3AL001,AE3007C,,Allison Engine Company,Allison Engine Company,"Indianapolis, Indiana, USA",3-Mar-94,19-Apr-95,MTF,5.3,16.2,28.6,6AL021,17.5 ,89.3 ,387 ,77.5 ,991 ,1.2,Jet-A/JP-8,1.899,101.3,
6AL021,AE3007C,Type 1,Rolls-Royce Corporation,Rolls-Royce Corporation,"Indianapolis, Indiana, USA",3-Mar-94,19-Apr-95,MTF,5.2,15.8,29.62,8AL025,14.04,71.6,320,65.15,1050,1.17,Jet A,1.9,,1. For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076  2. Results based on Rolls-Royce report EDR 15171B  
6AL022,AE3007C,Type 2,Rolls-Royce Corporation,Rolls-Royce Corporation,"Indianapolis, Indiana, USA",28-Aug-02,29-Aug-02,MTF,5.2,15.8,29.62,-,17.85,91.1,344,87.25,1150,0.01,Jet A,1.9,99.6 - 99.7,1. For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076  2. Data in this form for AE3007C engine fitted with PAB fuel nozzles  3. Results based on Rolls-Royce report EDR 19972
8AL025,AE3007C,Type 1,Rolls-Royce Corporation,Rolls-Royce Corporation,"Indianapolis, Indiana, USA",3-Mar-94,19-Apr-95,MTF,5.2,15.8,29.62,-,14.04,71.6,320,65.15,1050,1.17,Jet A,1.9,,1. For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076  2. Results based on Rolls-Royce report EDR 15171B  3. Maximum SN incorrectly entered originally [[6AL021]  4. Issue 15; Max SN changed from 0.00 to 1.00 as for take -off; no change to characteristic value
