12362;9.1;GE Aircraft Engines;;14.5;29-May-85;31.56
12714;9.6;GE Aircraft Engines;;13.6;29-May-85;32.86
12724;8.2;GE;1862M39;2.3;13-Jan-95;32.05
16203;11.6;GE Aircraft Engines;;15.3;8PJun-92;33.08
30616;4.6;GE Transportation;DAC;8.4;23-Nov-03;39.73
21342;11.2;GE;DAC I;5.6;24-Feb-95;35.3
19394;3.7;GE;DAC II;1.1;9-Jan-00;34.88
21338;2.04;GE;PEC;6.80;30-Nov-07;35.45
19995;0.6;GE;DAC II;0.9;24-Apr-97;35.3
19743;3.7;GE;DAC II;1.0;9-Jan-00;35.1
21592;2.00;GE;PEC;6.68;30-Nov-07;35.68
24478;0.6;GE;DAC II;0.7;24-Apr-97;38
24985;2.17;BE;PEC;5.47;30-Nov-07;38.37
29448;10.5;GE;DAC I;4.7;24-Feb-95;39.7
27923;4.6;GE;DAC II;0.8;9-Jan-00;39.38
26639;t.11;GE;PEC;4.26;30-Nov-07;39.85
30617;4.8;GE;DAC II;0.8;9-Jan-00;40.53
28540;3.92;GE;PEC;4.06;30-Nov-07;40.82
5217;1.9;GE Aviation;TAPS;2.41;29-Sep-09;35.2
11953;9.8;GE Aviation;TAPS;0.92;29-Sep-09;43.5
-;12.77;Honeywell;SABER-1;5.4;7-Apr-10;21.95
-;15;Honeywell;SABER-1;3.82;7-Apr-10;21.95
5102;11.1;IAE International Aero Engines;Floatwall;0.5;11-Dec-08;27.1
7414;11.1;IAE International Aero Engines;Floatwall;0.4;11-Dec-08;32
8646;11.6;International Aero Engines;;0.4;12-Aug-92;33.44
6106;-;KKBM;;69.6;4-Oct-87;13.2
2947;14.7;PowerJet S.A.;;2.4;1-Jul-09;22.8
;23.2;Pratt & Whitney;Smoke fix  14-70KC;220.2;;13.4
4144;17.3;Pratt & Whitney;Reduced emissions;7.1;7-Dec-79;16.81
3648;17.3;Pratt & Whitney;;9.4;7-Dec-79;16.45
5623;21.6;Pratt & Whitney;;4.9;7-Dec-79;18.24
4604;8.9;Pratt & Whitney;Environmental Kit (E_Kit);0.0;24-Feb-99;k0.27
3078;23.2;Pratt & Whitney;Smoke fix;39.9;Apr-76;15.82
3281;11.1;Pratt & Whitney;Reduced emissions;17.2;26-Feb-80;15.82
11892;14.0;Pratt & Whitney;;65.1;Mar-76;21.5
12291;12.9;Pratt & Whitney;;64.P;Mar-76;20.3
14424;4.3;Pratt & Whitney;Mod V;48.1;Nov-75;22.8
13703;20.8;Pratt & Whitney;Mod VI;70.1;16-Sep-80;22.8
13067;5.0;Pratt & Whitney;;2.4;6-Mar-80;23.40
14253;7.5;Pratt & Whitney;;2.9;26-Oct-81;26.3
1497;4.3;Pratt & Whitney Canada Inc.;Annular;12.4;8-May-00;20
1497;4.3;Pratt & Whitnet Canada Inc.;Annular;12.4;8-May-00;20
20269.1;4.9;Pratt & Whitney;Floatwall;5.67;13-Apr-10;32.3
19971;4.4;Pratt & Whitney;;8.9;15-Jun-96;31.76
21528;4.8;Pratt & Whitney;;8.1;15-Jun-96;32.83
11987;10.0;Pratt & Whitney;Reduced smoke;O.0;17-Aug-87;29.3
13936;16.4;Pratt and Whitney;Talon II;0.5;10-Apr-00;31.84
13043;18.4;Pratt & Whitney;;1.8;14-May-86;29.3
9681;8.8;Pratt & Whitney;Phase 3;14.6;15-Jan-93;25.39
