"18078 ";"Pratt and Whitney";"East Hartford, Ct, USA";"TF";"32.2";"333.2";"29.1 "
"2696";"GE Transportation";"Site 4D";"TF";"25.1";"76.9";"93.9"
"17713";"Engine Alliance";"Site 4D";"TF";"36.62";"332.39";"35.4"
"5231";"CFM International";"PTO, Ohio, USA";"TF";"29.00";"121.4";"13.4"
"1300 ";"Pratt & Whitney Canada Inc";"Mississauga, Ontario, Canada";"MTF";"20.4";"30.71";"89.3 "
"10545 ";"Rolls Royce Ltd";"British Airways Test Facility, Heathrow";"TF";"25.0 ";"182.5";"758.7 "
"14555 ";"Pratt & Whitney";"P7 Production Test Cell, Middletown, CT";"TF";"31";"280.24";"86.5 "
"1001 ";"Rolls Royce Ltd";"Bristol";"TF";"16.5";"32.4";"931.6 "
"3214";"GE Transportation";"Site 3C";"TF";"27.2";"83.7";"53.4"
"20514 ";"Rolls Royce Ltd";"SINFIN-Derby";"TF";"29.7 ";"231.3";"582.1 "
"1137 ";"GE Aircraft Engines";"Lynn Cell 121";"TF";"19.7";"41.01";"60.0 "
"16270 ";"Rolls Royce Ltd";"Derby";"TF";"28.0 ";"218.5 ";"632.7 "
"1137 ";"GE Aircraft Engines";"Lynn Cell 121";"TF";"28.57";"41.01";"60.0 "
"13305 ";"Pratt & Whitney";"Middletown, CT";"TF";"29.49";"258.0 ";"44.8 "
"3214";"GE Transportation";"Site 3C";"TF";"27.2";"83.7";"53.4"
"10297 ";"Pratt and Whitney";"East Hartford, Conn. USA";"TF";"28.41";"258.0";"17.3 "
"13333 ";"Pratt & Whitney";"P7 Production Test Cell, Middletown, CT";"TF";"38.18";"266.9";"93.9 "
"2836";"GE Transportation";"Site 4D";"TF";"25.6";"77.4";"86.17"
"3328";"GE Transportation";"Site 4D";"TF";"27.3";"83.7";"64.80"
"2871";"GE Transportation";"Site 4D";"mTF";"25.6";"77.4";"70.2"
"2010";"GE";"PTO iSite 3B Peebles";"TF";"22.08";"56.35";"2.8"
"13043 ";"Pratt & Whitney";"P7 Stand, P&W, Middletown, CT";"TF";"29.3";"252.4";"9.4 "
"9681 ";"Pratt & Whitney";"Middletown, CT";"TF";"25.39";"222.4";"74.6 "
"1956";"GE Aircraft Engines";"Peebles, Ohio";"TF";"22.15";"56.36";"2.6"
"2287";"GE";"PTO Site 3B Peebles";"TF";"23.49";"60.62";"2.3"
"2419";"GE";"PTO Site 3B Peebles";"TF";"24.12";"62.49";"2.3"
"2814 ";"Rolls Royce Ltd";"-";"MTF";"16.1";"61.6";"71.0 "
"2814 ";"Rolls Royce Ltd";"-";"MTF";"16.1";"61.6";"71.0 "
"11884 ";"GE";"Site IVD, Peebles, Ohio";"TF";"28.44";"230.4";"27.0 "
"16113 ";"Rolls Royce";"Derby";"TF";"36.71";"261.5";"1.0 "
"3513 ";"Rolls Royce Ltd";"Derby";"MTF";"19.9";"50.7";"1185.5 "
"2419";"GdE";"PTO Site 3Bl Peebles";"TF";"24.12";"62.49";"2.3"
"2223";"GE";"PTO Site 3B Peebles";"TF";"23.18";"59.68";"2.4"
"2500";"Rolls-Royce";"rDahlewitz";"MTF";"15.88";"61.6";"26.6"
"13436 ";"GE Aircraft Engines";"Production Test Cells M34 & M35";"TF";"28.8";"224.2";"199.8 "
"2990 ";"Rolls Royce plc";"SINFIN, Derby";"MTF";"16.4";"68.5";"67.9 "
"12549 ";"GE Aircraft Engines";"Production Test Cells M34 & M35";"TF";"25.4";"181.9";"173.9 "
"7492 ";"Rolls-Royce plc";"Hucknall";"MTF";"26.0";"178.4";"3.6 "
"3513 ";"Rolls Royce Ltd";"Derby";"MTF";"19.9";"50.7";"1185.5 "
"12382 ";"GE Aircraft Engines";"Site IIIC, PTO, Peebles, Ohio";"TF";"30.96";"257.4";"75.2 "
"11884 ";"GE";"Site IVD, Peebles, Ohio";"TF";"28.44";"230.4";"27.0 "
"21075 ";"Rolls Royce Ltd";"SINFIN-Derby";"MTF";"32.1";"253";"14.2 "
"11611 ";"GE Aircraft Engines";"Production Test Cells M34 & M35";"TF";"24.7";"174.8";"187.4 "
"11611 ";"GE Aircraft Engines";"Production Test Cells M34 & M35";"TF";"24.7";"174.8";"187.4 "
"1173 ";"Textron Lycoming";"Stratford, CT";"TqF";"13.15";"33.4";"90.8 "
"10719 ";"GE";"Site IIIB, PTO Peebles";"TF";"29.53";"249.01";"14.9 "
"11113 ";"GE";"Site IIIB, PTO Peebles";"TF";"30.13";"254.26";"13.3 "
"23531";"Rolls-Royce";"Derby";"(TF)";"46.08";"350.9";"0.2"
"20735";"Rolls-Royce";"Derby";"(TF)";"44.1";"334.7";"0.2"
"12196";"Rolls-Royce";"Derby";"v(TF)";"36.32";"268";"0.8"
"9340";"GE";"Site IIIB, PTO Peebles";"TF";"27.79";"233.35";"17.1 "
"9728 ";"GE Aircraft Engines";"Site IIIC, PTO, Peebles, Ohio";"TF";"28.0 ";"233.35";"89.6 "
"12134 ";"GE Aircraft Engines";"Site IIIC, PTO, Peebles, Ohio";"TF";"31.79";"267.03";"75.5 "
"12420 ";"GtE";"Site IIIB, PTO Peebles";"TF";"31.72";"267.03";"12.1 "
"17350";"Rolls-Royce";"Derby";"TF";"41";"310.8";"0.4"
"12640 ";"GE";"Site IIIB, PTO Peebles";"TF";"31.66";"270.01";"12.6 "
"12134 ";"GE Aircraft Engines";"Site IIIC, PTO, Peebles, Ohio";"TF";"31.79";"267.03";"75.7 "
