2.3;41.5;28-Jan-02;27-Jan-02;CF6 Eval Engineering;PTO Site 3B Peebles;CF34-8C5A1
2.3;39.8;28-Jan-02;27-Jan-02;CF6 Eval Engineerini;PTO Site 3B Peebles;CF34-8C5A2
2.2;38.0;28-Jan-02;27-Jan-02;CF6 Eval Engineering;PTO Site 3B Peebles;CF34-8C5A3
2.8;46.7;28-Jan-02;27-Jan-02;CF6 Eval Engineering;PTO Site 3B Peebles;CF34-8C5B1
3.1 ;48.2 ;28-Jan-02;27-Jan-02;Peebles Test Organisation;Peebles, Ohio;CF34-8E2
3.0;48.2;28-Jan-02;27-Jan-02;CF6 Eval Engineering;PTO Site 3B Peebles;CF34-8E2
2.5;43.1;28-Jan-02;27-Jan-02;CF6 Eval Engineering;PTO Site 3B Peebles;CF34-8E2A1
2.6 ;42.5 ;28-Jan-02;27-Jan-02;Peebles Test Organisation;Peebles, Ohio;CF34-8E5
2.4;42.5;28-Jan-02;27-Jan-02;CF6 Eval Engineering;PTO Site 3B Peebles;CF34-8E5
2.0 ;39.8;28-Jan-02;27-Jan-02;Peebles Test Organisation;Peebles, Ohio;CF34-8E5A1
2.3;39.8;28-Jan-02;27-Jan-02;CF6 Eval Engineering;PTO Site 3B Peebles;CF34-8E5A1
2.2;38.0;28-n-02;27-Jan-02;CF6 Eval Engineering;PTO Site 3B Peebles;CF34-8E5A2
2.4;4.5;28-Jan-02;27-Jan-02;CF6 Eval Engineering;PTO Site 3B Peebles;CF34-8E6
2.3;39.8;28-Jan-02;27-Jan-02;CF6 Eval Engineering;PTO Site 3B Peebles;CF34-8E6A1
30.6 ;42.3 ;29-Jul-87;28-Jul-87;GEDevelopment/Production Test Operation;Site IVD, Peebles, Ohio;CF6-45A
225.3 ;107.7 ;5-Dec-79;12-Oct-79;Production Engine Test;Production Test Cells M34 & M35;CF6-45A2
30.6 ;42.3 ;29-Jul-87;28-Jul-87;GE Development/Production Test Operation;Site IVD, Peebles, Ohio;CF6-45A2
28.6 ;39.5 ;29-Jul-87;28-Jul-87;GE Development/Production Test Operation;Site IVD, Peebles, Ohio;CF6-50A
199.8 ;100.5 ;5-Dec-79;12-Oct-79;Production Engine Test;Production Test Cells M34 & M35;CF6-50C
27.0 ;37.7 ;29-Jul-87;28-Jul-87;GE Development/Production Test Operation;Site IVD, Peebles, Ohio;CF6-50C
27.0 ;36.6 ;29-Jul-87;28-Jul-87;GE Development/Production Test Operation;Site IVD, Peebles, Ohio;CF6-50C1
190.1 ;99.0 ;5-Dec-79;12-Oct-79;Production Engine Test;Production Test Cells M34 & M35;CF6-50C1, -C2
27.0 ;36.6 ;29-Jul-87;28-Jul-87;GE Development/Production Test Operation;Site IVD, Peebles, Ohio;CF6-50C2
26.0 ;35.4 ;29-Jul-87;28-Jul-87;GE Development/Production Test Operation;Site IVD, Peebles, Ohio;CF6-50C2B
